sampleID	prelim_taxa	avgcov
T2_CG40	Curtobacterium	8.47993
T2_CG41	Variovorax	8.25763
T2_CG42	Pantoea	11.6258
T2_CG43	Curtobacterium	13.4715
T2_CG44	Pantoea	8.06838
T2_CG45	Peribacillus	6.36252
T2_CG46	Pantoea	21.7471
T2_CG47		
T2_CG48	Curtobacterium	15.8173
T2_WG01	Pantoea	21.8539
T2_WG02	Pantoea	9.42396
T2_WG03	Pantoea	15.5333
T2_WG04	Pantoea	10.4784
T2_WG05	Pantoea	45.5779
T2_WG06	Pantoea	29.9434
T2_WG07	Pantoea	13.5826
T2_WG08	Pantoea	45.892
T2_WG09	Pantoea	18.8897
T2_WG10	Pantoea	20.5669
T2_WG11	Pantoea	26.4464
T2_WG12	Curtobacterium	17.9798
T2_WG13	Pantoea	14.5281
T2_WG14	Pantoea	33.2597
T2_WG15	Pantoea	27.5636
T2_WG16	Pantoea	54.8548
T2_WG17	annotated	48.3282
T2_WG18	Pantoea	29.3243
T2_WG19	Bacillus	64.4555
T2_WG20	Pantoea	49.7209
T2_WG21	Pantoea	29.5597
T2_WG22	Pantoea	19.0648
T2_WG23	Curtobacterium	2.94904
T2_WG24	annotated	36.7053
T2_WG25	Pantoea	23.8348
T2_WG26	Pantoea	49.0594
T2_WG27	Pantoea	20.0231
T2_WG28	Curtobacterium	6.29495
T2_WG29	Pantoea	6.85677
T2_WG30	Pantoea	13.0811
T2_WG31	Bacillus	26.976
T2_WG32	Pantoea	36.1448
T2_WG33	Pantoea	33.0995
T2_WG34	Pantoea	30.0706
T2_WG35	Curtobacterium	17.7069
T2_WG36	Pantoea	19.6047
T2_WG37	Pantoea	12.7326
T2_WG38	annotated	21.7093
T2_WG39	Pantoea	19.2292
T2_WG40	Pantoea	9.79751
T2_WG41	Pantoea	17.1434
T2_WG42	Pantoea	9.53031
T2_WG43	Pantoea	20.1943
T2_WG44	Pantoea	23.3713
T2_WG45	Pantoea	16.7645
T2_WG46	Peribacillus	34.0141
T2_WG47	Pantoea	29.641
T2_WG48	Pantoea	31.725
T3_CG01	annotated	31.77
T3_CG02	Curtobacterium	40.4286
T3_CG03	Bacillus	11.5772
T3_CG04	annotated	13.2444
T3_CG05	annotated	25.3117
T3_CG06	Curtobacterium	19.6401
T3_CG07	Curtobacterium	27.9215
T3_CG08	Curtobacterium	13.1504
T3_CG09	Curtobacterium	36.4439
T3_CG10	Curtobacterium	99.868
T3_CG11	Curtobacterium	25.1732
T3_CG12	Curtobacterium	5.08193
T3_CG13	Curtobacterium	5.01879
T3_CG14	Curtobacterium	14.4743
T3_CG15	Curtobacterium	4.97418
T3_CG16	Curtobacterium	9.05105
T3_CG17	annotated	10.0764
T3_CG18	Curtobacterium	7.82707
T3_CG19	Pantoea	12.6812
T3_CG20	Pantoea	21.9758
T3_CG21	Pantoea	41.0081
T3_CG22	Curtobacterium	5.83899
T3_CG23	Pantoea	63.5363
T3_CG24	annotated	39.1085
T3_CG25	annotated	25.4401
T3_CG26	annotated	45.3293
