file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_CG31.filtered.gatk.gd,T1_CG31,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_CG32.filtered.gatk.gd,T1_CG32,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG33.filtered.gatk.gd,T1_CG33,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_CG34.filtered.gatk.gd,T1_CG34,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG35.filtered.gatk.gd,T1_CG35,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG36.filtered.gatk.gd,T1_CG36,2,2,0,0,0,0,0,0,0,0,3773875,3773875,2,0,0,0,0,0
T1_CG37.filtered.gatk.gd,T1_CG37,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_CG38.filtered.gatk.gd,T1_CG38,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_CG39.filtered.gatk.gd,T1_CG39,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG3.filtered.gatk.gd,T1_CG3,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T1_CG40.filtered.gatk.gd,T1_CG40,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_CG42.filtered.gatk.gd,T1_CG42,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG43.filtered.gatk.gd,T1_CG43,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG44.filtered.gatk.gd,T1_CG44,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_CG45.filtered.gatk.gd,T1_CG45,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG46.filtered.gatk.gd,T1_CG46,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG47.filtered.gatk.gd,T1_CG47,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
