file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_WG2.bre.gd,T1_WG2,206791260,1533418,206805108,1533548,206154663,1528437,4,1,3,0,0,0,0,0,0,0,3773875,3702943,0,0,0,0,0,1
T1_WG30.bre.gd,T1_WG30,231499280,1720108,231517457,1720274,230957471,1715806,4,1,3,0,0,0,0,0,0,0,3773875,3708720,0,0,0,0,0,1
T1_WG31.bre.gd,T1_WG31,233290646,1739071,233305000,1739204,232597788,1733714,3,1,2,0,0,0,0,0,0,0,3773875,3707156,0,0,0,0,0,1
T1_WG32.bre.gd,T1_WG32,194446657,1466958,194461300,1467098,193880818,1462527,4,1,3,0,0,0,0,0,0,0,3773875,3705007,0,0,0,0,0,1
T1_WG33.bre.gd,T1_WG33,260536029,1956748,260561792,1956990,259782317,1950715,5,2,3,0,0,0,0,0,0,0,3773875,3709540,0,0,0,0,0,2
T1_WG34.bre.gd,T1_WG34,257330947,1924519,257348364,1924688,256700956,1919544,4,2,2,0,0,0,0,0,0,0,3773875,3709307,0,1,0,0,0,1
T1_WG35.bre.gd,T1_WG35,76535631,589818,76543060,589884,76359861,588656,4,2,2,0,0,0,0,0,0,0,3773875,3615549,1,0,0,0,0,1
T1_WG36.bre.gd,T1_WG36,272516669,2019170,272540429,2019386,271671587,2012535,5,2,3,0,0,0,0,0,0,0,3773875,3709091,0,1,0,0,0,1
T1_WG37.bre.gd,T1_WG37,214738398,1610314,214755039,1610474,214141369,1605616,4,2,2,0,0,0,0,0,0,0,3773875,3707984,1,0,0,0,0,1
T1_WG38.bre.gd,T1_WG38,190863352,1407852,190879723,1407996,190297154,1403400,4,2,2,0,0,0,0,0,0,0,3773875,3706858,0,1,0,0,0,1
T1_WG39.bre.gd,T1_WG39,263747009,1965501,263761509,1965638,262950026,1959235,4,1,3,0,0,0,0,0,0,0,3773875,3707994,0,0,0,0,0,1
T1_WG3.bre.gd,T1_WG3,237929750,1775899,237947164,1776066,237186371,1769990,4,1,3,0,0,0,0,0,0,0,3773875,3707016,0,0,0,0,0,1
T1_WG40.bre.gd,T1_WG40,159293249,1187369,159305601,1187484,158896699,1184264,6,3,3,0,0,0,0,0,0,0,3773875,3704897,1,0,0,0,0,2
T1_WG41.bre.gd,T1_WG41,203479367,1516415,203491290,1516526,202742324,1510585,4,1,3,0,0,0,0,0,0,0,3773875,3702957,0,0,0,0,0,1
T1_WG42.bre.gd,T1_WG42,271585123,2015063,271604572,2015244,270782044,2008723,4,2,2,0,0,0,0,0,0,0,3773875,3709320,0,1,0,0,0,1
T1_WG44.bre.gd,T1_WG44,307725232,2292741,307747171,2292938,306861306,2285962,5,2,3,0,0,0,0,0,0,0,3773875,3709340,0,1,0,0,0,1
T1_WG45.bre.gd,T1_WG45,194579858,1460010,194590363,1460112,194062154,1456015,7,3,4,0,0,0,0,0,0,0,3773875,3706180,2,0,0,0,0,1
